"File Name","Collection Name#1","Work Type#1","Work Type Vocab#1","Work Type Refid#1","Work Title#1","Work Title Type#1","Work Agent Name#1","Work Agent Name Vocab#1","Work Agent Name Refid#1","Work Agent Name Type#1","Work Agent Role#1","Work Agent Role Vocab#1","Work Agent Role Refid#1","Work Date#1","Work Date Type#1","Subject Term#1","Subject Type#1","Subject Vocab#1","Subject Refid#1","Subject Term#10","Subject Type#10","Subject Vocab#10","Subject Refid#10","Subject Term#11","Subject Type#11","Subject Vocab#11","Subject Refid#11","Subject Term#12","Subject Type#12","Subject Vocab#12","Subject Refid#12","Subject Term#13","Subject Type#13","Subject Vocab#13","Subject Refid#13","Subject Term#14","Subject Type#14","Subject Vocab#14","Subject Refid#14","Subject Term#15","Subject Type#15","Subject Vocab#15","Subject Refid#15","Subject Term#16","Subject Type#16","Subject Vocab#16","Subject Refid#16","Subject Term#17","Subject Type#17","Subject Vocab#17","Subject Refid#17","Subject Term#2","Subject Type#2","Subject Vocab#2","Subject Refid#2","Subject Term#3","Subject Type#3","Subject Vocab#3","Subject Refid#3","Subject Term#4","Subject Type#4","Subject Vocab#4","Subject Refid#4","Subject Term#5","Subject Type#5","Subject Vocab#5","Subject Refid#5","Subject Term#6","Subject Type#6","Subject Vocab#6","Subject Refid#6","Subject Term#7","Subject Type#7","Subject Vocab#7","Subject Refid#7","Subject Term#8","Subject Type#8","Subject Vocab#8","Subject Refid#8","Subject Term#9","Subject Type#9","Subject Vocab#9","Subject Refid#9","Location Name#1","Location Type#1","Location Refid#1","Location Refid Type#1","Work Measurements#1","Work measurement#1","Work Measurement Type#1","Work Measurement Unit#1","Work measurement#2","Work Measurement Type#2","Work Measurement Unit#2","Material#1","Material Type#1","Material Vocab#1","Material Refid#1","Material#2","Material Type#2","Material Vocab#2","Material Refid#2","Material#3","Material Type#3","Material Vocab#3","Material Refid#3","Technique#1","Technique Vocab#1","Technique Refid#1","Technique#2","Technique Vocab#2","Technique Refid#2","Style Period#1","Style Period Vocab#1","Style Period Refid#1","Cultural Context#1","Cultural Context Vocab#1","Cultural Context Refid#1","Cultural Context#2","Cultural Context Vocab#2","Cultural Context Refid#2","Work Description#1","Image Rights#1","Image Source Type#1","Image Source Refid Type#1","Image Source Refid Type#2","Image Measurement#1","Image Measurement Type#1","Image Measurement Unit#1","Image Agent Name#1","Image Agent Type#1","Image Agent Role#1","Image Date#1","Image Date Type#1","Image Work Type#1","Image Work Type Vocab#1","Image Work Type Refid#1","Identifier ARK#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"cosv1bib.tif","Clifford P. Westermeier Portfolio of Illustrations of Historical Hats and Headdresses","bibliographies","aat","300026497","Bibliography","cited","Westermeier, Clifford P. (Clifford Peter), 1910-","naf","n 86124441","personal","illustrator","aat","300025123","1938","publication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado at Boulder Special Collections Department","repository","GT2110.W47","shelfList","29.2 cm (L) x 21.6 cm (W)","29.2","length","cm","21.6","width","cm","paper (fiber product)","support","aat","300014109","ink","medium","aat","300015012","","","","","typewriting","aat","300247929","","","","","","","","","","","","","Typewritten bibliography","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","book","citation","URI","99757964","fileSize","bytes","Palombi, Melissa Olympia","personal","scanning technician","2/24/2009","other","digital image","aat","300215302","https://ark.colorado.edu/ark:/47540/ww0j574448m6","337903","4862","cosv1bib.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~52~52~337903~123541"
"cosv1bib2.tif","Clifford P. Westermeier Portfolio of Illustrations of Historical Hats and Headdresses","bibliographies","aat","300026497","Bibliography (continued)","cited","Westermeier, Clifford P. (Clifford Peter), 1910-","naf","n 86124441","personal","illustrator","aat","300025123","1938","publication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado at Boulder Special Collections Department","repository","GT2110.W47","shelfList","29.2 cm (L) x 21.6 cm (W)","29.2","length","cm","21.6","width","cm","paper (fiber product)","support","aat","300014109","ink","medium","aat","300015012","","","","","typewriting","aat","300247929","","","","","","","","","","","","","Typewritten bibliography (continued)","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","","","","89017344","fileSize","bytes","Palombi, Melissa Olympia","personal","scanning technician","2009-15-05","other","digital image","aat","300215302","https://ark.colorado.edu/ark:/47540/9t032h54b44c","345772","4862","cosv1bib2.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~52~52~345772~123793"
"cosv1toc.tif","Clifford P. Westermeier Portfolio of Illustrations of Historical Hats and Headdresses","tables of contents","aat","300195187","Contents of Volume 1","cited","Westermeier, Clifford P. (Clifford Peter), 1910-","naf","n 86124441","personal","illustrator","aat","300025123","1938","publication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado at Boulder Special Collections Department","repository","GT2110.W47","shelfList","29.2 cm (L) x 21.6 cm (W)","29.2","length","cm","21.6","width","cm","paper (fiber product)","support","aat","300014109","ink","medium","aat","300015012","","","","","typewriting","aat","300247929","","","","","","","","","","","","","Typewritten table of contents to Volume 1","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","book","citation","URI","101361236","fileSize","bytes","Palombi, Melissa Olympia","personal","scanning technician","2/24/2009","other","digital image","aat","300215302","https://ark.colorado.edu/ark:/47540/zx3b2q98f0ng","338321","4862","cosv1toc.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~52~52~338321~123562"
"cosv2toc.tif","Clifford P. Westermeier Portfolio of Illustrations of Historical Hats and Headdresses","tables of contents","aat","300195187","Contents of Volume II","cited","Westermeier, Clifford P. (Clifford Peter), 1910-","naf","n 86124441","personal","illustrator","aat","300025123","1938","publication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado at Boulder Special Collections Department","repository","GT2110.W47","shelfList","29.2 cm (L) x 21.6 cm (W)","29.2","length","cm","21.6","width","cm","paper (fiber product)","support","aat","300014109","ink","medium","aat","300015012","","","","","typewriting","aat","300247929","","","","","","","","","","","","","Typewritten table of contents to Volume 2","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","book","citation","URI","100049104","fileSize","bytes","Palombi, Melissa Olympia","personal","scanning technician","3/5/2009","other","digital image","aat","300215302","https://ark.colorado.edu/ark:/47540/5c4w5n85001g","338796","4862","cosv2toc.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~52~52~338796~123587"
"cosv2toc2.tif","Clifford P. Westermeier Portfolio of Illustrations of Historical Hats and Headdresses","tables of contents","aat","300195187","Contents of Volume II (continued)","cited","Westermeier, Clifford P. (Clifford Peter), 1910-","naf","n 86124441","personal","illustrator","aat","300025123","1938","publication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado at Boulder Special Collections Department","repository","GT2110.W47","shelfList","29.2 cm (L) x 21.6 cm (W)","29.2","length","cm","21.6","width","cm","paper (fiber product)","support","aat","300014109","ink","medium","aat","300015012","","","","","typewriting","aat","300247929","","","","","","","","","","","","","Typewritten table of contents (continued) to Volume 2","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","","","","93896704","fileSize","bytes","Palombi, Melissa Olympia","personal","scanning technician","2009-15-05","other","digital image","aat","300215302","https://ark.colorado.edu/ark:/47540/w70m7k32r49z","345740","4862","cosv2toc2.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~52~52~345740~123794"
"cosv1intro.tif","Clifford P. Westermeier Portfolio of Illustrations of Historical Hats and Headdresses","documents","aat","300026030","Introduction","cited","Westermeier, Clifford P. (Clifford Peter), 1910-","naf","n 86124441","personal","illustrator","aat","300025123","1938","publication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Colorado at Boulder Special Collections Department","repository","GT2110.W47","shelfList","29.2 cm (L) x 21.6 cm (W)","29.2","length","cm","21.6","width","cm","paper (fiber product)","support","aat","300014109","ink","medium","aat","300015012","","","","","typewriting","aat","300247929","","","","","","","","","","","","","Typewritten introduction","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","book","citation","URI","98455920","fileSize","bytes","Palombi, Melissa Olympia","personal","scanning technician","2/24/2009","other","digital image","aat","300215302","https://ark.colorado.edu/ark:/47540/sm879029w7hv","337922","4862","cosv1intro.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~52~52~337922~123542"
"cosv3n01.tif","Clifford P. Westermeier Portfolio of Illustrations of Historical Hats and Headdresses","watercolors (paintings)","aat","300078925","Plate I: 17th Century German helmet","cited","Westermeier, Clifford P. (Clifford Peter), 1910-","naf","n 86124441","personal","illustrator","aat","300025123","1938","publication","helmets","descriptiveTopic","aat","300036794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hairstyles","descriptiveTopic","aat","300262903","cheekpieces","descriptiveTopic","aat","300036851","metalwork","descriptiveTopic","aat","300015336","motifs","descriptiveTopic","aat","300009700","gorgets (armor)","descriptiveTopic","aat","300036785","burgonets","descriptiveTopic","aat","300036806","collars (neckwear)","descriptiveTopic","aat","300210058","","","","","University of Colorado at Boulder Special Collections Department","repository","GT2110.W47","shelfList","29.2 cm (L) x 21.6 cm (W)","29.2","length","cm","21.6","width","cm","watercolor (paint)","medium","aat","300015045","","","","","","","","","painting (image-making)","aat","300054216","","","","Baroque","aat","300021147","German","ULAN Nationalities and Places","901800","","","","a. A German helmet of the period. b. Motifs---Italian scroll, rayed sun, human figures, animal and plant forms, vegetable flower forms. Acanthus, vines, grape, laurel leaves. It was the beginnings of the Baroque Period. c. Colors---All types and kinds, rich and heavy. d. Cosmetics---patches, wigs, masques, scent, paint, rouge, perfumes. e. Textiles---velvet, brocade, armures, damasks, satin, cloth of gold, printed linen, brocatelles, painted linen, petit point, rep, India prints, fustian, lace with gold and silver threads.","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","book","citation","URI","104515440","fileSize","bytes","Palombi, Melissa Olympia","personal","scanning technician","3/6/2009","other","digital image","aat","300215302","https://ark.colorado.edu/ark:/47540/t30d8m1464s3","338815","4862","cosv3n01.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~52~52~338815~123588"
"cosv1n01.tif","Clifford P. Westermeier Portfolio of Illustrations of Historical Hats and Headdresses","watercolors (paintings)","aat","300078925","Plate I: Egyptian crown","cited","Westermeier, Clifford P. (Clifford Peter), 1910-","naf","n 86124441","personal","illustrator","aat","300025123","1938","publication","crowns (headdresses)","descriptiveTopic","aat","300046020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","goldwork","descriptiveTopic","aat","300044045","metalwork","descriptiveTopic","aat","300015336","motifs","descriptiveTopic","aat","300009700","cosmetics","descriptiveTopic","aat","300236306","lappets","descriptiveTopic","aat","300210770","","","","","","","","","","","","","University of Colorado at Boulder Special Collections Department","repository","GT2110.W47","shelfList","29.2 cm (L) x 21.6 cm (W)","29.2","length","cm","21.6","width","cm","watercolor (paint)","medium","aat","300015045","","","","","","","","","painting (image-making)","aat","300054216","","","","Egyptian (ancient)","aat","300020251","Ancient Egyptian","ULAN Nationalities and Places","933110","","","","a. A pahent, ornamented with the royal asp---worn by the pharaoh of Egypt. b. Motifs---sun, the beetle, the cobra, feathers, papyrus buds and reeds, lotus, date-palms, the lily, zigzags, herbs, animals, fan, nude figures, winged human figures, human faces, the ram, the cow, sparrow hawk, sacred tree and winged globe. c. Colors---gold and brilliant colors as yellow, red, and black; red, blue, and white; dark red, yellow, and blue. The triad form was popular. d. Cosmetics---oils and scent, stibium, a stain for eyelids and eyebrows. Kohl was used for the same purpose. Rouge and lip rouge was used. e. Textiles---wool, linen, cotton","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","book","citation","URI","105101692","fileSize","bytes","Palombi, Melissa Olympia","personal","scanning technician","2/24/2009","other","digital image","aat","300215302","https://ark.colorado.edu/ark:/47540/t44x7506r9wb","337941","4862","cosv1n01.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~52~52~337941~123543"
"cosv2n01.tif","Clifford P. Westermeier Portfolio of Illustrations of Historical Hats and Headdresses","watercolors (paintings)","aat","300078925","Plate I: Late Middle Ages German helmet","cited","Westermeier, Clifford P. (Clifford Peter), 1910-","naf","n 86124441","personal","illustrator","aat","300025123","1938","publication","helmets","descriptiveTopic","aat","300036794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","metalwork","descriptiveTopic","aat","300015336","motifs","descriptiveTopic","aat","300009700","plumes (ornaments)","descriptiveTopic","aat","300203648","gorgets (armor)","descriptiveTopic","aat","300036785","armor (protective wear)","descriptiveTopic","aat","300036745","","","","","","","","","","","","","University of Colorado at Boulder Special Collections Department","repository","GT2110.W47","shelfList","29.2 cm (L) x 21.6 cm (W)","29.2","length","cm","21.6","width","cm","watercolor (paint)","medium","aat","300015045","","","","","","","","","painting (image-making)","aat","300054216","","","","Late Medieval","aat","300111307","German","ULAN Nationalities and Places","901800","","","","a. A helmet of the type worn by German soldiers about 1450. b. Motifs---religious symbols, floriation, circles, arches, triangles, curves, pointed arch, heraldic forms, badges, crests, shields, acanthus, laurel, wreathes, anthemion and fleur-de-lis, crowns and urns. c. Colors---they became darker and richer. d. Cosmetics---white paint, vermilion, rouge, scent. e. Textiles---samite, cendal, pers, camelin, isambrun, 'moleskin' (a linen cloth), fustaine, serge, linen, cotton, wool, brocade, brocatelle, velvet.","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","book","citation","URI","104413552","fileSize","bytes","Palombi, Melissa Olympia","personal","scanning technician","3/5/2009","other","digital image","aat","300215302","https://ark.colorado.edu/ark:/47540/c23p1970c3zq","338340","4862","cosv2n01.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~52~52~338340~123563"
"cosv3n02.tif","Clifford P. Westermeier Portfolio of Illustrations of Historical Hats and Headdresses","watercolors (paintings)","aat","300078925","Plate II: 17th Century French coiffures","cited","Westermeier, Clifford P. (Clifford Peter), 1910-","naf","n 86124441","personal","illustrator","aat","300025123","1938","publication","hairstyles","descriptiveTopic","aat","300262903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","veils (headcloths)","descriptiveTopic","aat","300046128","motifs","descriptiveTopic","aat","300009700","jewelry","descriptiveTopic","aat","300209286","embroidery (visual works)","descriptiveTopic","aat","300264024","necklaces","descriptiveTopic","aat","300046001","ruffle","descriptiveTopic","aat","300253712","thread","descriptiveTopic","aat","300014250","","","","","University of Colorado at Boulder Special Collections Department","repository","GT2110.W47","shelfList","29.2 cm (L) x 21.6 cm (W)","29.2","length","cm","21.6","width","cm","watercolor (paint)","medium","aat","300015045","","","","","","","","","painting (image-making)","aat","300054216","","","","Baroque","aat","300021147","French","ULAN Nationalities and Places","901600","","","","a. French---hair cut short and curled in ringlets partly concealed by a transparent veil embroidered with gold thread. About 1668. b. French---hair cut short and curled. c. French---hair a la garcon, a horizontal parting made along the forehead and a few loose curls fell over the brow. About 1650.","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","book","citation","URI","103737132","fileSize","bytes","Palombi, Melissa Olympia","personal","scanning technician","3/6/2009","other","digital image","aat","300215302","https://ark.colorado.edu/ark:/47540/sd398z10d08j","338834","4862","cosv3n02.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~52~52~338834~123589"
